Category, Qty, Item, Description, Option/MPN, Manufacturer, Package, Unit Price, Total Price, Purchase Link, Note
AliExpress, 2, Antenna, 2.4GHz, 2.4 5.8G SMA, , , C$6.39, C$12.78, https://www.aliexpress.com/item/1005007573271319.html, total 4 antennas
AliExpress, 6, Radio, nRF24L01+, GT-24 SMD, , , C$3.64, C$21.84, https://www.aliexpress.com/item/4001134750735.html, total 6 radios
AliExpress, 5, Connector, SMA, female, , , C$5.91, C$29.55, https://www.aliexpress.com/item/1005007542020934.html, total 5 connectors
LCSC, 10, Connector Header, 4 position 2mm Pitch, S4B-PH-K-S(LF)(SN), JST, Through Hole Right Angle, C$0.0556, C$0.56, https://www.lcsc.com/product-detail/C157926.html,
LCSC, 10, Tactile Switch, SPST-NO 100gf, PTS647SN50SMTR2LFS, C&K, SMD, C$1.3011, C$13.01, https://www.lcsc.com/product-detail/C2799414.html,
LCSC, 3, ESD Diode, 8VC Clamp 5A, TPD2EUSB30DRTR, TI, SOT(9x3), C$0.5305, C$1.59, https://www.lcsc.com/product-detail/C97502.html,
LCSC, 3, ESP32 Module, ESP32-S3-WROOM-1U-N16R8, ESP32-S3-WROOM-1U-N16R8, ESPRESSIF, SMD 19.2x18mm, C$5.3260, C$15.98, https://www.lcsc.com/product-detail/C3013946.html,
LCSC, 5, Tactile Switch, SPST 1.59N, B3U-3000P, OMRON, SMD 3x2.5mm, C$0.3732, C$1.87, https://www.lcsc.com/product-detail/C963349.html,
LCSC, 3, Slide Switch, SPDT 300mA, JS102011SAQN, C&K, SMD, C$1.0179, C$3.05, https://www.lcsc.com/product-detail/C221660.html,
LCSC, 100, Resistor, 5.1kΩ, 0805W8F5101T5E, UNI-ROYAL, 0805, C$0.0027, C$0.27, https://www.lcsc.com/product-detail/C27834.html,
LCSC, 100, Resistor, 1kΩ, RC0805FR-071KL, YAGEO, 0805, C$0.0026, C$0.26, https://www.lcsc.com/product-detail/C95781.html,
LCSC, 100, Resistor, 10kΩ, 0805W8F1002T5E, UNI-ROYAL, 0805, C$0.0030, C$0.30, https://www.lcsc.com/product-detail/C17414.html,
LCSC, 100, Resistor, 100kΩ, 0805W8F1003T5E, UNI-ROYAL, 0805, C$0.0028, C$0.28, https://www.lcsc.com/product-detail/C149504.html,
LCSC, 100, Resistor, 22Ω, FRC0805F22R0TS, FOJAN, 0805, C$0.0022, C$0.22, https://www.lcsc.com/product-detail/C2907244.html,
LCSC, 5, MOSFET, N-Channel 30V, AO3400A, AOS, SOT-23, C$0.0828, C$0.41, https://www.lcsc.com/product-detail/C20917.html,
LCSC, 5, Micro SD Connector, Push-Push, DM3AT-SF-PEJM5, HRS, SMD, C$1.4747, C$7.37, https://www.lcsc.com/product-detail/C114218.html,
LCSC, 10, Capacitor, 10uF 50V, GRM21BR61H106KE43L, muRata, 0805, C$0.0723, C$0.72, https://www.lcsc.com/product-detail/C440198.html,
LCSC, 10, Connector Header, 3 position 2mm, S3B-PH-K-S(LF)(SN), JST, Through Hole Right Angle, C$0.0490, C$0.49, https://www.lcsc.com/product-detail/C157929.html,
LCSC, 10, Female Header, 4P 2.54mm, 2.54-1*4P, BOOMELE, Through Hole, C$0.0775, C$0.78, https://www.lcsc.com/product-detail/C2718488.html,
LCSC, 5, U.FL Connector, 50Ω, U.FL-R-SMT-1(80), HRS, SMD, C$0.1161, C$0.58, https://www.lcsc.com/product-detail/C88374.html,
LCSC, 5, USB-C Connector, 16P, TYPE-C-31-M-12, Hroparts, SMD, C$0.1704, C$0.85, https://www.lcsc.com/product-detail/C165948.html,
LCSC, 10, Ferrite Bead, 600Ω@100MHz, MPZ2012S601AT000, TDK, 0805, C$0.0272, C$0.27, https://www.lcsc.com/product-detail/C21519.html,
LCSC, 5, RGB LED, WS2812B-V6, WS2812B-V6, Worldsemi, SMD5050, C$0.1034, C$0.52, https://www.lcsc.com/product-detail/C52917433.html,
LCSC, 50, LED, Yellow 598nm, YLED0805Y, YONGYUTAI, 0805, C$0.0121, C$0.61, https://www.lcsc.com/product-detail/C20608785.html,
LCSC, 100, LED, Red 645nm, YLED0805R, YONGYUTAI, 0805, C$0.0081, C$0.81, https://www.lcsc.com/product-detail/C19171391.html,
LCSC, 100, LED, Blue, YLED0805B, YONGYUTAI, 0805, C$0.0084, C$0.84, https://www.lcsc.com/product-detail/C19273154.html,
LCSC, 20, LED, Green 518nm, 17-21/GHC-XS1T2M/4T, EVERLIGHT, 0805, C$0.0241, C$0.48, https://www.lcsc.com/product-detail/C2971978.html,
LCSC, 50, Diode, 40V 1A, SS14, JSMSEMI, SMA, C$0.0109, C$0.55, https://www.lcsc.com/product-detail/C2837270.html,
LCSC, 100, Capacitor, 100nF 50V, CC0805KRX7R9BB104, YAGEO, 0805, C$0.0051, C$0.51, https://www.lcsc.com/product-detail/C49678.html,
