Index, LCSC#    , MPN                    , Manufacturer                , Package                         , Customer #, Description                                                                             , RoHS, Quantity, MOQ, Multiple, Unit Price($), Extended Price($), Purchase Link
    1, C157926  , S4B-PH-K-S(LF)(SN)     , JST                         , "Through Hole,Right Angle,P=2mm",           , Connector Header 4 position 2mm Pitch 2A Right Angle -25℃~+85℃                          , yes ,       10,  10,       10,        0.0556,              0.56, https://www.lcsc.com/product-detail/C157926.html
    2, C2799414 , PTS647SN50SMTR2LFS     , C&K                         , 卷装(TR)                        ,           , Tactile Switch SPST-NO 100gf Gull Wing Surface Mount                                    , -   ,       10,   1,        1,        1.3011,             13.01, https://www.lcsc.com/product-detail/C2799414.html
    4, C97502   , TPD2EUSB30DRTR         , TI                          , SOT(9x3)                        ,           , 8VC Clamp 5A@8/20us Ipp ESD DIODE SOT(9x3)                                              , yes ,        3,   1,        1,        0.5305,              1.59, https://www.lcsc.com/product-detail/C97502.html
    5, C3013946 , ESP32-S3-WROOM-1U-N16R8, ESPRESSIF                   , "SMD,19.2x18mm"                 ,           , "2.4GHz ESP32-S3R8 -103.5dBm SMD,19.2x18mm RF Transceiver Modules and Modems RoHS"      , yes ,        3,   1,        1,        5.3260,             15.98, https://www.lcsc.com/product-detail/C3013946.html
    6, C963349  , B3U-3000P              , OMRON                       , "SMD,3x2.5mm"                   ,           , "Tactile Switch SPST 1.59N 1.2mm SMD (SMT) Tab 3mm x 2.5mm Surface Mount, Right Angle"  , yes ,        5,   5,        5,        0.3732,              1.87, https://www.lcsc.com/product-detail/C963349.html
    7, C221660  , JS102011SAQN           , C&K                         , SMD                             ,           , "Slide Switch SPDT 300mA @ 6V Surface Mount, Right Angle Rectangular Columnar"          , yes ,        3,   1,        1,        1.0179,              3.05, https://www.lcsc.com/product-detail/C221660.html
    8, C27834   , 0805W8F5101T5E         , UNI-ROYAL                   , 0805                            ,           , 5.1kΩ ±1% 125mW 0805 Thick Film Resistor                                                , yes ,      100, 100,      100,        0.0027,              0.27, https://www.lcsc.com/product-detail/C27834.html
    9, C95781   , RC0805FR-071KL         , YAGEO                       , 0805                            ,           , 1kΩ 125mW 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS, yes ,      100, 100,      100,        0.0026,              0.26, https://www.lcsc.com/product-detail/C95781.html
   10, C17414   , 0805W8F1002T5E         , UNI-ROYAL                   , 0805                            ,           , 10kΩ ±1% 125mW 0805 Thick Film Resistor                                                 , yes ,      100, 100,      100,        0.0030,              0.30, https://www.lcsc.com/product-detail/C17414.html
   11, C149504  , 0805W8F1003T5E         , UNI-ROYAL                   , 0805                            ,           , 100kΩ ±1% 125mW 0805 Thick Film Resistor                                                , yes ,      100, 100,      100,        0.0028,              0.28, https://www.lcsc.com/product-detail/C149504.html
