Designator,Mid X,Mid Y,Rotation,Layer
C1,27.2,-65.35,0.0,bottom
C10,60.74762,-63.0,180.0,top
C11,60.74762,-60.8,180.0,top
C12,60.5,-42.25,90.0,top
C13,55.25,-70.75,90.0,top
C14,62.6,-42.25,90.0,top
C2,27.2,-63.1,0.0,bottom
C3,51.6,-97.427382,90.0,top
C4,53.85,-97.427382,90.0,top
C5,33.0,-55.9,90.0,bottom
C6,42.85,-97.527382,90.0,top
C63,68.8,-89.5,180.0,top
C7,30.9,-55.9,90.0,bottom
C8,40.6,-97.527382,90.0,top
C9,43.2,-92.9,0.0,top
D1,61.0,-89.0,0.0,top
D10,71.6,-76.1,270.0,bottom
D11,71.6,-84.5,90.0,bottom
D2,27.5,-88.0,0.0,top
D3,27.5,-90.25,0.0,top
D4,27.5,-85.75,0.0,top
D5,27.5,-83.5,0.0,top
D6,35.4,-95.7,270.0,top
D7,59.25,-70.75,90.0,top
D8,71.6,-59.3,270.0,bottom
D9,71.6,-66.6,90.0,bottom
FB1,35.5,-70.9,0.0,top
H1,30.0,-30.0,0.0,top
H2,70.0,-30.0,0.0,top
H3,30.0,-95.0,0.0,top
H4,70.0,-95.0,0.0,top
J1,61.0,-96.0,0.0,bottom
J10,41.3,-35.5,180.0,bottom
J11,40.0,-29.9,90.0,top
J12,35.8,-37.4,90.0,bottom
J13,29.9,-40.0,180.0,top
J14,50.0,-38.5,90.0,top
J2,63.0,-37.7,270.0,bottom
J3,70.0,-40.0,0.0,top
J4,68.3,-50.25,270.0,top
J5,68.3,-62.0,270.0,top
J6,68.3,-74.75,270.0,top
J7,40.75,-93.25,180.0,bottom
J8,60.1,-36.2,180.0,top
J9,60.0,-30.0,90.0,top
JP1,30.2,-74.4,270.0,top
Q1,31.2,-70.8,180.0,top
Q2,42.8975,-52.0,0.0,top
Q3,56.9,-66.0065,270.0,bottom
Q4,56.2205,-48.166,0.0,bottom
R1,64.2,-89.6,180.0,bottom
R11,49.35,-97.427382,90.0,top
R13,30.3,-50.0,180.0,bottom
R14,31.25,-57.75,270.0,top
R15,39.5,-92.9,0.0,top
R16,40.25,-88.3,180.0,top
R18,55.25,-67.0,90.0,top
R2,57.9,-89.7,180.0,bottom
R3,27.6375,-70.8,270.0,top
R31,68.75,-87.25,0.0,top
R32,69.5,-84.25,90.0,top
R4,54.6,-92.4,270.0,bottom
R5,31.0,-88.0,180.0,top
R6,68.9,-90.9,180.0,bottom
R7,31.0,-90.25,180.0,top
R8,31.0,-85.75,180.0,top
R9,31.0,-83.5,180.0,top
SW1,27.75,-52.5,270.0,top
SW2,73.5,-89.25,0.0,top
SW3,73.5,-84.25,0.0,top
SW4,41.0,-80.0,0.0,top
SW5,50.0,-71.0,0.0,top
SW6,50.0,-80.0,0.0,top
SW7,50.0,-89.0,0.0,top
SW8,59.0,-80.0,0.0,top
TP4,63.5,-70.75,0.0,top
U1,34.99,-76.3,270.0,bottom
U2,61.0,-89.4,180.0,bottom
U3,46.1,-97.427382,0.0,top
